,bikeid
46129,29638
46132,29520
46136,33668
46152,29522
46159,29236
46473,33578
46563,29245
46601,32435
46613,29455
46630,33575
46639,29444
46683,33637
46738,33666
46755,29509
47109,33640
47266,33660
47297,33665
47308,29255
47336,33667
48474,29251
48498,33588
48849,29516
48914,29575
49485,29124
49488,29257
49627,33624
49702,33649
49709,33664
49773,33658
49833,33669
49921,33656
49933,29127
49938,33652
49958,33659
50003,33663
50056,29573
50084,29453
50804,29269
50824,33573
51469,29294
53281,29217
53389,29298
53674,33655
53692,29493
53693,29214
57354,29461
58435,29220
59489,29656
68484,31472
68626,29484
68627,33680
68630,29281
68631,33675
68632,33677
68634,29283
68635,33674
68653,32046
68680,29545
68756,33676
68780,28857
68785,29576
68828,29282
68872,33681
68883,29215
68960,33682
69043,33679
69053,29527
69060,29230
69108,29450
69164,33678
69236,29474
69247,29554
69250,29506
69256,29643
69257,29556
69278,29476
69306,29550
69333,29223
69401,29268
69402,29199
69414,29463
69421,29234
69438,29306
69439,29469
69466,29646
69474,29213
69478,29658
69501,29238
69505,29460
69510,29531
69512,29248
69514,29636
69529,29222
69547,29497
69580,29285
69597,27258
69621,29197
69664,33557
69686,29301
69687,29486
69695,29548
69697,28956
69705,29514
69707,29265
69715,31408
69723,29468
69745,29226
69754,29451
69760,29470
69763,29677
69764,29589
69777,29498
69778,29534
69782,29670
69784,29447
69793,29442
69800,26184
69809,29639
69822,29295
69823,29578
69837,29504
69877,29680
69886,18251
69901,29496
69903,29647
69909,29225
69949,29535
69953,29278
69958,29533
69991,29299
69996,29519
70036,29482
70059,29682
70085,29585
70120,29443
70138,29599
70154,29487
70171,29472
70228,29551
70241,29259
70372,29247
70669,29303
70736,17685
70977,29241
70985,29275
70986,29200
71014,29437
71026,29302
71034,29495
71510,29664
71590,29286
71607,29296
71643,29126
71661,29122
71663,29660
71722,28543
71816,29438
71851,29627
71858,25330
71902,29227
71904,29297
73529,18535
74132,29224
74145,26278
74188,29609
74521,29228
74577,26185
74763,20046
75111,29675
75401,29253
76654,29663
76670,29386
76672,29305
77704,29279
78095,29202
78160,21562
80137,29125
91265,26162
96834,17004
103442,29287
103471,22467
103509,29212
103551,29210
103553,33695
103642,29601
103660,29532
103700,29239
103727,29198
103822,29659
103841,29553
103860,29547
103917,29645
103955,26246
103966,29570
103989,32417
104040,17285
104062,29467
104082,29448
104090,29252
104136,29209
104159,27269
